party,date,avg,sd,eff_n,lower,upper,region
Bloc,2021-02-06,0.3113425894087806,0.05096152762107951,4.37170999360232,0.27114706237576536,0.351538116441796,Quebec
Bloc,2021-02-07,0.30957994225882446,0.05135895150965971,4.631238842170025,0.27025722477214476,0.3489026597455042,Quebec
Bloc,2021-02-08,0.30817901083133814,0.05170710176274682,4.856384221075536,0.26953750969477264,0.3468205119679036,Quebec
Bloc,2021-02-09,0.3088885530609023,0.047921555866315975,4.451486699712988,0.2714054729887871,0.3463716331330175,Quebec
Bloc,2021-02-10,0.3096537263886523,0.04465360333143854,4.093691707403058,0.2731973933145716,0.346110059462733,Quebec
Bloc,2021-02-11,0.3104719004146358,0.0417224287525388,3.7735588048941247,0.27498433698912284,0.34595946384014875,Quebec
Bloc,2021-02-12,0.3113337356097311,0.03903909852902833,3.4856749490305186,0.27678194833287106,0.3458855228865912,Quebec
Bloc,2021-02-13,0.3058547571962387,0.03560092244629029,2.895466864843821,0.27119345814346973,0.3405160562490076,Quebec
Bloc,2021-02-14,0.29922635120411756,0.0366268636344476,2.957971951638943,0.26394569212371277,0.33450701028452234,Quebec
Bloc,2021-02-15,0.2939684643508397,0.03480848312808729,2.936835211241325,0.26035754674002554,0.32757938196165365,Quebec
Bloc,2021-02-16,0.2889748883955772,0.03301821223834619,2.9096194869155414,0.25688113130882856,0.32106864548232583,Quebec
Bloc,2021-02-17,0.2842275653771786,0.03120246972468301,2.870510016447902,0.25355749822928575,0.31489763252507147,Quebec
Bloc,2021-02-18,0.286076203063511,0.03030707029165356,3.148950604111756,0.25777812598417404,0.314374280142848,Quebec
Bloc,2021-02-19,0.2874282212419132,0.029194673479220456,3.392928263339514,0.2613206972605636,0.3135357452232629,Quebec
Bloc,2021-02-20,0.28772548425854366,0.030515148379960784,3.6658559728060736,0.2614821864612607,0.3139687820558267,Quebec
Bloc,2021-02-21,0.2880310194702813,0.031617265745320956,3.894247683134786,0.2616609707718464,0.31440106816871616,Quebec
Bloc,2021-02-22,0.2883097642865474,0.03259126445044603,4.098402013390325,0.2618195403209833,0.3147999882521114,Quebec
Bloc,2021-02-23,0.2885609633956851,0.03348828553885251,4.2849139038059,0.26194384747146426,0.31517807931990605,Quebec
Bloc,2021-02-24,0.2830039941550728,0.032250208433732816,3.8581716730509386,0.2553793138314471,0.3106286744786986,Quebec
Bloc,2021-02-25,0.2778091337584981,0.03126952557108155,3.4439847919833975,0.24911513228616666,0.3065031352308295,Quebec
Bloc,2021-02-26,0.27289399795417446,0.03042201124944353,3.048427609720956,0.24317840439392313,0.3026095915144258,Quebec
Bloc,2021-02-27,0.27127812551281194,0.028015460222619144,2.606088011051199,0.24201355591953505,0.30054269510608883,Quebec
Bloc,2021-02-28,0.26945673291425853,0.025756199880920188,2.1918539808285686,0.24065817178220392,0.29825529404631307,Quebec
Bloc,2021-03-01,0.2721694868443686,0.02391840463232428,2.315748469236363,0.2461854147286351,0.2981535589601021,Quebec
Bloc,2021-03-02,0.2745444151815808,0.021926102010763518,2.445754948436875,0.25136374382636417,0.29772508653679736,Quebec
Bloc,2021-03-03,0.28046119788465784,0.02164568162298302,2.6687911186831417,0.2586693702404338,0.3022530255288819,Quebec
Bloc,2021-03-04,0.2849255173940347,0.022406329531248312,2.9967310942479726,0.26367497815848795,0.3061760566295816,Quebec
Bloc,2021-03-05,0.28918420988840426,0.02304453845294297,3.3429509904161123,0.26854626228047973,0.3098221574963289,Quebec
Bloc,2021-03-06,0.2944145842602553,0.02531440976691151,3.7732683484806415,0.27297224805726206,0.3158569204632486,Quebec
Bloc,2021-03-07,0.29941822581668665,0.02738371795306472,4.176103637425283,0.27726783956348316,0.32156861206989024,Quebec
Bloc,2021-03-08,0.3003993602067632,0.027467884978129492,4.471005828470862,0.2790028332063215,0.321795887207205,Quebec
Bloc,2021-03-09,0.29940590328976563,0.028004779506024195,4.6955798001343165,0.2781351660256197,0.3206766405539115,Quebec
Bloc,2021-03-10,0.2986957990971758,0.02842607947376218,4.866224884495246,0.27749254231036496,0.3198990558839866,Quebec
Bloc,2021-03-11,0.29815320156656355,0.02879340320686244,5.005687471014387,0.27697896504484043,0.31932743808828673,Quebec
Bloc,2021-03-12,0.2976956661942845,0.029143887134553355,5.1336849729292675,0.2765337685900463,0.31885756379852276,Quebec
Bloc,2021-03-13,0.2944684758274342,0.02830081936445225,4.755825056925247,0.2729404740533693,0.315996477601499,Quebec
Bloc,2021-03-14,0.29148285212221003,0.027491845159928634,4.422369975097509,0.2697316873525172,0.31323401689190283,Quebec
Bloc,2021-03-15,0.28744109254769973,0.025613706114736214,4.0814646153621705,0.26641194618409986,0.30847023891129965,Quebec
Bloc,2021-03-16,0.28366257473160345,0.023903997576298772,3.7996642400969294,0.26335290580252346,0.30397224366068337,Quebec
Bloc,2021-03-17,0.280064116483569,0.022295271248420127,3.554513258802794,0.2604690828890842,0.29965915007805377,Quebec
Bloc,2021-03-18,0.27947195265046026,0.021925954190447232,3.830970723645217,0.2609577540676409,0.29798615123327965,Quebec
Bloc,2021-03-19,0.2787406600470316,0.021429144017778203,4.076037174684235,0.2612540822680997,0.29622723782596333,Quebec
Bloc,2021-03-20,0.27921966576916946,0.022019533298006346,4.340671044002394,0.2618157581904069,0.29662357334793193,Quebec
Bloc,2021-03-21,0.27956694405786103,0.022454412912308302,4.557305220700856,0.26225039787222854,0.2968834902434936,Quebec
Bloc,2021-03-22,0.28775222107503623,0.024761405133888074,4.163209974036508,0.26651548295108535,0.3089889591989871,Quebec
Bloc,2021-03-23,0.2951105853806964,0.027271778299947303,3.797474847544856,0.27020775101235184,0.32001341974904085,Quebec
Bloc,2021-03-24,0.30194972659502195,0.029958310890907038,3.4613862980433248,0.27356119724620365,0.3303382559438402,Quebec
Bloc,2021-03-25,0.3083430901364751,0.032679483055992296,3.1453287333818643,0.2766771490516584,0.3400090312212917,Quebec
Bloc,2021-03-26,0.3143760635825689,0.035411933607132046,2.846950962282739,0.2796104833238918,0.34914164384124613,Quebec
Bloc,2021-03-27,0.309707231979741,0.03342527819876177,2.8456540970813307,0.2771534556436516,0.3422610083158303,Quebec
Bloc,2021-03-28,0.30618051933086704,0.029981563637439184,2.9153451397000554,0.2773918749778904,0.3349691636838437,Quebec
Bloc,2021-03-29,0.3031707792895917,0.026657462040120743,2.98427518816477,0.27780229624360675,0.3285392623355766,Quebec
Bloc,2021-03-30,0.30054902600011174,0.023426650955140058,3.0464738582319297,0.27833138908209987,0.3227666629181237,Quebec
Bloc,2021-03-31,0.2982539636903208,0.02027946128834154,3.0965160678541226,0.27895672479120276,0.31755120258943886,Quebec
Bloc,2021-04-01,0.2987047366450043,0.01995402384629504,3.4411362304669124,0.28100700617683716,0.3164024671131715,Quebec
Bloc,2021-04-02,0.29208709347610795,0.021911537179846417,3.267258419345459,0.2714719527572894,0.3127022341949265,Quebec
Bloc,2021-04-03,0.28600074373862294,0.023883665779257168,3.090945943310841,0.26266597375428224,0.3093355137229637,Quebec
Bloc,2021-04-04,0.28028359899948513,0.0258349712929622,2.9140548652026,0.2544005804502142,0.3061666175487561,Quebec
Bloc,2021-04-05,0.2748304969483172,0.02775161225074859,2.740851629903979,0.2465554333681487,0.3031055605284856,Quebec
Bloc,2021-04-06,0.26960971373346265,0.02963726097695868,2.567508891615758,0.23906102513997513,0.30015840232695024,Quebec
Bloc,2021-04-07,0.2720496798751901,0.027892386714011917,2.6036150421358757,0.24369029802153483,0.30040906172884535,Quebec
Bloc,2021-04-08,0.2719452999719524,0.03624292447860407,2.969661844679356,0.2384251142051593,0.30546548573874543,Quebec
Bloc,2021-04-09,0.27161542208333855,0.04401407247213034,3.3505881578260164,0.23354020972506823,0.30969063444160894,Quebec
Bloc,2021-04-10,0.2719032782485875,0.048663512334361565,3.7105157098574795,0.23158091183891308,0.3122256446582619,Quebec
Bloc,2021-04-11,0.2719363908714807,0.053441800988966545,4.128768078819406,0.22950215576500482,0.3143706259779566,Quebec
Bloc,2021-04-12,0.27073946621714134,0.05823364986441405,4.575899407190574,0.22578781138825105,0.3156911210460317,Quebec
Bloc,2021-04-13,0.27157901786190985,0.05298295612246019,4.759008034255719,0.2315255913729904,0.3116324443508294,Quebec
Bloc,2021-04-14,0.2722941555310158,0.04837379393569115,4.960066669399017,0.23648958750820323,0.30809872355382845,Quebec
Bloc,2021-04-15,0.2721347043979413,0.046899627550939835,5.204856701461701,0.23824627782026725,0.3060231309756154,Quebec
Bloc,2021-04-16,0.27203015425674704,0.04535852372985847,5.398201733045063,0.2398352559197363,0.30422505259375776,Quebec
Bloc,2021-04-17,0.27217561098012133,0.04638523424805039,5.767281595240901,0.2403666317328767,0.303984590227366,Quebec
Bloc,2021-04-18,0.2698109718004206,0.044287713730973524,5.346480223341943,0.23801877122254309,0.3016031723782979,Quebec
Bloc,2021-04-19,0.26936517843166613,0.0408410445755179,4.9435856060674634,0.23896766996727586,0.2997626868960564,Quebec
Bloc,2021-04-20,0.2688410083044621,0.03763976454743366,4.578741474812373,0.2397684341587762,0.297913582450148,Quebec
Bloc,2021-04-21,0.27707506590726183,0.04068285213887843,4.196754974403189,0.2442375745659245,0.3099125572485992,Quebec
Bloc,2021-04-22,0.2842180931135137,0.04353818908095809,3.88691822008498,0.2482758464574261,0.32016033976960134,Quebec
Bloc,2021-04-23,0.2880260623411598,0.04646973814388481,4.367846582011753,0.2516597139553831,0.32439241072693636,Quebec
Bloc,2021-04-24,0.2905348105227092,0.04944540523116493,4.973569760478125,0.2535957945154582,0.32747382652996004,Quebec
Bloc,2021-04-25,0.2931127331648225,0.052231912393757254,5.578190252508839,0.2556691096193215,0.33055635671032346,Quebec
Bloc,2021-04-26,0.28691479196758474,0.04872924946446522,6.230976896167277,0.25411815470877364,0.31971142922639584,Quebec
Bloc,2021-04-27,0.28178542670883344,0.04540764374403708,6.830396538215275,0.25298504765292107,0.3105858057647457,Quebec
Bloc,2021-04-28,0.28246530317047114,0.04490412287762803,7.345583967063126,0.2551796947494061,0.3097509115915361,Quebec
Bloc,2021-04-29,0.28249734074104127,0.04552184548997146,7.682922414446696,0.25546372496733166,0.3095309565147509,Quebec
Bloc,2021-04-30,0.2736502503369921,0.04848999110042056,7.037893377103394,0.24214775219668008,0.3051527484773041,Quebec
Bloc,2021-05-01,0.2659640880484062,0.05150326191615131,6.493744491265312,0.23078500181094136,0.3011431742858711,Quebec
Bloc,2021-05-02,0.259017890621,0.05448366745175317,6.024156726904715,0.2206654418157758,0.29737033942622426,Quebec
Bloc,2021-05-03,0.25260443758928536,0.057356152539249985,5.623396919049659,0.21148094679503654,0.2937279283835342,Quebec
Bloc,2021-05-04,0.23801480607543377,0.06006396646111314,4.632608893653192,0.1912926224397613,0.2847369897111062,Quebec
Bloc,2021-05-05,0.23352528561119706,0.06072359947673953,4.6649198817286175,0.18646377162340838,0.2805867995989858,Quebec
Bloc,2021-05-06,0.2287300053092652,0.06150834552122945,4.6369798979847605,0.1809263130824762,0.2765336975360543,Quebec
Bloc,2021-05-07,0.22378961214851337,0.062420321331685194,4.56588240438132,0.17502190857174155,0.27255731572528524,Quebec
Bloc,2021-05-08,0.2280010734618016,0.06276386335462915,3.972455493205989,0.17556689822568478,0.28043524869791847,Quebec
Bloc,2021-05-09,0.23954706337492443,0.06356859082642134,4.046072463378503,0.18698728700196046,0.29210683974788837,Quebec
Bloc,2021-05-10,0.24796106779180352,0.060491536690122694,3.934931320098829,0.19733081523221335,0.29859132035139363,Quebec
Bloc,2021-05-11,0.2554950878274599,0.05763775372478046,3.822373928379572,0.206540716163146,0.3044494594917738,Quebec
Bloc,2021-05-12,0.2623821102455922,0.05496020841423617,3.7023364650129116,0.21489484157584288,0.30986937891534155,Quebec
Bloc,2021-05-13,0.26354852594494577,0.0513589893517017,3.8171017112972825,0.22018235670888053,0.306914695181011,Quebec
Bloc,2021-05-14,0.2650489820910834,0.04786069814445161,3.9348230135306794,0.22528514713429199,0.3048128170478748,Quebec
Bloc,2021-05-15,0.26967867360353104,0.04561166154353319,3.9728870084799097,0.23208374266683415,0.3072736045402279,Quebec
