district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle,incumbent
24014,Charlevoix--Montmorency,Charlevoix--Montmorency,Bloc,Guimond,Michel,,Y
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Liberal,Lanctôt,Robert,,Y
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,NDP,Archambault,Mélanie,,N
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Conservative,Turcot,Rosaire,,N
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Bloc,Poirier-Rivard,Denise,,N
24015,Châteauguay--Saint-Constant,Châteauguay--Saint-Constant,Green,Gadoury,Marc-André,,N
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Liberal,Harvey,André,,Y
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Conservative,Boudreault,Alcide,,N
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Bloc,Bouchard,Robert,,N
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Green,Tremblay,Paul,,N
24016,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,NDP,Dubois,Éric,,N
24017,Compton--Stanstead,Compton--Stanstead,Liberal,Price,David,,Y
24017,Compton--Stanstead,Compton--Stanstead,Conservative,Caldwell,Gary ,,N
24017,Compton--Stanstead,Compton--Stanstead,Bloc,Bonsant,France,,N
24017,Compton--Stanstead,Compton--Stanstead,NDP,Baller,Martin,,N
24017,Compton--Stanstead,Compton--Stanstead,Green,Busque,Laurier,,N
24018,Drummond,Drummond,Liberal,Gougeon,Roger,,N
24018,Drummond,Drummond,NDP,Evans,Blake,,N
24018,Drummond,Drummond,Green,Lacroix,Louis,,N
24018,Drummond,Drummond,Conservative,Boisvert,Lyne,,N
24018,Drummond,Drummond,Bloc,Picard,Pauline,,Y
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Liberal,Farrah,Georges,,Y
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,NDP,Toone,Philip,,N
24019,Gaspésie--Îles-de-la-Madeleine,Gaspésie--Îles-de-la-Madeleine,Bloc,Blais,Raynald,,N
